year,state,zip_code,school_type,school_level,id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,average_act
2016-2017,MI,49451,Regular School,High,262937006516,-0.02908337676446258,-0.4530624641319069,0.6963038044311152,-0.07967881512409428,-0.5787066635223109,19.3
2016-2017,NC,28052,Regular School,High,370162000691,0.27855874809382447,-0.903636748300639,-0.8237643890563293,-0.5451372056711589,0.9997025127559169,17.7350427350427
2016-2017,IN,47348,Regular School,High,180057000102,0.11627652875102977,-0.479624540871438,0.1876418574323545,-0.5179372393319077,-0.3441159935621158,20.7948717948718
2016-2017,PA,19038,Regular School,High,422262003376,-0.7226133718728118,1.9225121145617634,0.40117222707196387,0.9940584579185348,-1.2748510219239222,22.9120879120879
2016-2017,NJ,8558,Regular School,High,341059005250,-0.07348525477548626,1.9407007922972304,1.1838736383672568,5.082568899787804,-1.669213075304576,27.1367521367521
2016-2017,NJ,7205,Regular School,High,340729005540,1.711887419045297,-0.3529936147570393,-0.771939875726437,0.008452382801868582,0.3403932738404945,16.3431013431013
2016-2017,NJ,8608,Regular School,Other,340071702925,4.1784490485529,-1.1324870830601135,-2.4733594943649306,-0.8661216108752403,1.1059904750860907,15.9279609279609
2016-2017,NY,10468,Regular School,High,360008705181,1.6729208746328244,-0.8245237280303244,-1.4315838825456753,-0.6498860122116795,1.830416545690964,14.8290598290598
2016-2017,NJ,8088,Regular School,High,340849000701,0.4520803865893098,-0.9250560606018609,1.8690397127089757,-0.6235954672393941,-1.5108025476048839,22.7899877899878
2016-2017,LA,70755,Regular School,High,220126001029,-0.8801168473993646,-1.2973675942549707,0.3481449169247588,0.13502730214956946,1.171357995295388,18.0
2016-2017,WA,98501,Regular School,High,530618000937,-0.6826850040818543,1.7170376337330537,0.38900687004033396,0.907952789400814,-1.1169450396371694,24.6214896214896
2016-2017,WI,54736,Regular School,Other,550384000136,-0.9029788101593863,-0.3503256718314015,0.60604262758111,-0.1648750622748492,-0.7313388508454639,22.9
2016-2017,LA,70806,Regular School,High,220054000434,-1.0637832615901772,1.1076969302761364,-1.4935777987180625,-0.11212862299083014,1.267580250011843,17.0
2016-2017,NY,10455,Regular School,Other,360008400757,1.3014601666202157,-1.4663980140200574,-1.120197868116217,-1.3031399150371912,1.3158604420200848,19.2490842490842
2016-2017,TN,37363,Regular School,High,470159000514,-0.22396711594316374,0.988697589707954,1.3322745991484697,1.0767331276427026,-0.558612043639312,19.5
2016-2017,NY,11373,Regular School,High,360009802038,-1.0945963635313927,-0.6251559959113852,0.6657702106774628,-0.4372467616811199,0.9867380604547326,17.3199023199023
2016-2017,NY,10456,Regular School,High,360008605668,2.4074655140963883,-1.3957965313489191,-2.441073699592736,-1.4427774322013105,1.7002931053371029,15.8058608058608
2016-2017,GA,31078,Regular School,High,130153000080,-0.5037665504605209,-0.6825411957960326,-0.70830253576179,-0.36879213514950904,1.1356478987674123,19.2735042735043
2016-2017,MO,65672,Regular School,High,291455000684,-0.26399453093752817,-0.2674342511538772,1.2155862227707181,-0.29703052182893136,0.6547483205085477,20.0
2016-2017,MI,48015,Regular School,Other,260096708048,0.40983843027172656,-0.07345350611766553,-0.49225942423612146,-0.8699659830174141,1.2067210384747713,18.1
2016-2017,WI,54013,Regular School,High,550552000587,-0.49948778681425754,-0.18325698940437313,0.4616887073406928,0.30103803895569836,-0.8972370869009961,23.4
2016-2017,MI,48726,Regular School,High,260840004391,-0.30138418020298613,0.29396410813340734,-0.1042091528793984,-0.26660624337043765,0.06308716814086963,19.6
2016-2017,TN,37211,Regular School,High,470318001299,-0.5000682228954988,0.03164936193178286,-0.3462162932187484,-0.4927628024008986,1.387216230777641,17.0
2016-2017,OH,45231,Regular School,High,390473302840,0.1675600256722992,1.1391690231421892,-0.4527864326664965,0.07004501174637358,-0.07319412187368625,21.0
2016-2017,MO,64633,Regular School,High,290738000202,0.8831281217432694,-0.550014283029015,-0.32133285450578547,-0.8173848930728435,-0.26782816363991035,19.7
2016-2017,TX,78750,Regular School,High,482703012156,-0.7168453112799591,2.176682049548182,1.5379313270849067,0.9711989117398024,-1.6050924707003364,24.4505494505495
2016-2017,NC,28358,Regular School,High,370393002237,-0.5782067374291823,0.7323679796395983,0.8815766701121599,-0.17963249082061314,0.8819551422895066,18.5409035409035
2016-2017,MI,49740,Regular School,High,261770005432,0.10923030189409644,1.5205890285288557,0.7109766721145804,0.4135996017851528,-0.9242399053418097,24.0
2016-2017,WI,53228,Regular School,High,550600000661,-0.738690714451275,0.8348430564428148,1.1506564244859163,-0.039374913633562485,-0.9875790395065744,22.2
2016-2017,PA,17049,Regular School,High,421260002394,-0.9763088557193587,-1.4330448320931473,0.45275242104653163,-0.16805803705922964,-0.7570586194973016,20.6166056166056
2016-2017,FL,33463,Regular School,High,120150001548,1.3785957265956805,-1.559841416858165,-1.2989265163472452,-1.1915704482444267,1.3270261465148305,16.6361416361416
2016-2017,MO,63640,Regular School,High,291191000440,-0.018804044549180967,-1.0521241520195714,0.5827754779810649,-0.7099491597662874,-0.2401091731306677,21.2
2016-2017,NC,28125,Regular School,High,370405001630,0.29754643131799424,-0.17091569205578785,0.10671083324459947,-0.7168524946882554,0.00698479639474984,20.1037851037851
2016-2017,NJ,8215,Regular School,High,340606003115,1.413765643248791,-0.6167784765378019,-0.5412678049023453,-0.3702389418696819,-0.4196175622991458,20.9096459096459
2016-2017,WA,98115,Regular School,High,530771001239,-0.9820375538523016,2.1172694348514214,1.5470910820302246,1.7748793761284374,-1.258607157751099,24.8901098901099
2016-2017,TX,78660,Regular School,Other,480024112260,-0.5628835914578565,-0.14639452007570153,-1.0022356754022552,-0.7994031524078369,0.027195040929465064,22.4481074481074
2016-2017,TN,37013,Regular School,High,470318001257,-0.4288457589998029,1.3124057443175314,-0.5382588316707024,0.4244299835190188,0.9465735567480756,17.6
2016-2017,NY,11367,Regular School,High,360012202014,-1.1057655665153538,0.27172379032353955,1.660871828053428,0.06942495172344232,0.8816087631365581,18.6385836385836
2016-2017,TX,75489,Regular School,High,484293004891,-0.1193857573314945,0.17142405165666447,0.6140535425817866,0.3739984349872764,-0.4580194293739417,20.982905982906
2016-2017,FL,33950,Regular School,High,120024000296,2.5363582941647254,-0.371727945794487,-2.553424827198621,-1.0568520739288954,-0.08853719732498158,21.9352869352869
2016-2017,PA,18643,Regular School,High,422673006390,-0.7721602973656879,0.5018777474762257,-0.9440004830819052,-0.23213090609545967,-0.746936340533641,20.2747252747253
2016-2017,NY,11211,Regular School,High,360011905703,-0.4032136928312711,2.0262293251974937,1.6902964024667695,1.344971093562765,1.2354436007218816,17.4175824175824
2016-2017,OH,43724,Regular School,High,390452502145,0.2047357038513457,-1.4361896502641336,0.4040036349653355,-0.3856164304383772,-0.7025761369131825,20.0
2016-2017,MO,64024,Regular School,High,291165000420,-1.3538715020232444,-0.11930764249191934,-0.19216213831979437,0.12035254827352967,-0.3500719638804514,21.4
2016-2017,LA,70506,Regular School,High,220087000678,-1.1031625535963048,0.1776438405063738,-0.6616561522203968,-0.8292487081782615,-0.5731491652988199,22.5
2016-2017,OH,44470,Regular School,High,390502303882,-0.2773096564693276,-0.7189146913117156,1.116524773350711,0.000515614508348474,1.411923403112299,20.0
2016-2017,TN,38478,Regular School,High,470141000429,0.029919776459213194,-0.4497249229026464,-1.1100740143614942,-0.8661216108752403,0.2012437863396576,18.3
2016-2017,TX,79928,Regular School,High,481443006667,-0.39092435441264783,0.19388712726413343,0.567955777471198,0.23105393103419034,1.3771460088782088,16.4163614163614
2016-2017,TX,78606,Regular School,High,481032000515,0.39804643162851894,-0.15126090762177025,1.0035291560860264,0.08145411616830874,-0.3256463084230573,21.959706959707
2016-2017,IL,60465,Regular School,High,170840000458,-0.7706715576770918,0.631947314507872,0.7537873351878623,0.06396842352164725,-0.4314829124328824,20.3
2016-2017,NC,28135,Regular School,High,370018002748,1.365827734050264,-1.29280684170063,0.08488362315639385,-0.47941084324044553,0.2155315267471875,18.2722832722833
2016-2017,MI,49284,Regular School,High,263261006808,-0.2546637955260797,-0.059781040163843224,0.3731853333354226,-0.04350864711977087,0.06493813727027982,19.6
2016-2017,NY,11208,Regular School,High,360012006046,0.6765136185780601,-0.26842886783887315,0.36652492403041076,0.4078950495741852,1.3058717353185219,15.7570207570208
2016-2017,NY,11203,Regular School,Other,360009505709,0.40827524261227816,0.7170602249061131,-0.9379885630462461,-0.16384162890329707,1.6900282897777765,16.6849816849817
2016-2017,NC,28023,Regular School,High,370405001629,0.6122613385769977,-0.6524230762062424,-1.242718824689476,-0.5996198130193855,0.025726461159812225,19.2735042735043
2016-2017,TX,79756,Regular School,High,483117003505,-0.5922313780559797,-1.0972765784904208,-0.6155447170507565,-0.6320696208861213,-0.7908195641783689,23.1562881562882
